symbol,company_name,kap_ana_sektor,kap_alt_sektor,paynotu_sector_group,financial_model,sector_profile,primary_source,fallback_sources,financial_source_priority,manual_review_required,match_level,routing_note,sector_source,sector_source_file,sector_source_version,sector_verified
A1CAP,A1 CAPİTAL YATIRIM MENKUL DEĞERLER A.Ş.,MALİ KURULUŞLAR,ARACI KURUMLAR,financial_special,financial_special,broker_operational,isyatirim_group_1,yfinance_quarterly|borsapy_yearly,isyatirim_group_1|yfinance_quarterly|borsapy_yearly,False,sub_sector,SPK aracı kurum; isyatirim_group_1 (XI_29) veri veriyor,KAP,sektorler.pdf,kap_sektor_map_2026_05,True
A1YEN,A1 YENİLENEBİLİR ENERJİ ÜRETİM A.Ş.,ELEKTRİK GAZ VE SU,ELEKTRİK GAZ VE BUHAR,energy_utility,energy_utility,energy_utility,isyatirim_group_1,yfinance_quarterly|borsapy_yearly,isyatirim_group_1|yfinance_quarterly|borsapy_yearly,False,sub_sector,Regüle enerji; borç toleransı industrial'dan yüksek,KAP,sektorler.pdf,kap_sektor_map_2026_05,True
AAGYO,AĞAOĞLU AVRASYA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,MALİ KURULUŞLAR,GAYRİMENKUL YATIRIM ORTAKLIKLARI,gyo,gyo,gyo,isyatirim_group_1,yfinance_quarterly|borsapy_yearly,isyatirim_group_1|yfinance_quarterly|borsapy_yearly,False,sub_sector,,KAP,sektorler.pdf,kap_sektor_map_2026_05,True
ACSEL,ACISELSAN ACIPAYAM SELÜLOZ SANAYİ VE TİCARET A.Ş.,İMALAT,KİMYA İLAÇ PETROL LASTİK VE PLASTİK ÜRÜNLER,industrial,industrial_general,industrial_general,isyatirim_group_1,yfinance_quarterly|borsapy_yearly,isyatirim_group_1|yfinance_quarterly|borsapy_yearly,False,sub_sector,Petrol rafinerisi (TUPRS) dahil; energy_utility değil,KAP,sektorler.pdf,kap_sektor_map_2026_05,True
ADEL,ADEL KALEMCİLİK TİCARET VE SANAYİ A.Ş.,İMALAT,DİĞER İMALAT SANAYİİ,industrial,industrial_general,industrial_general,isyatirim_group_1,yfinance_quarterly|borsapy_yearly,isyatirim_group_1|yfinance_quarterly|borsapy_yearly,False,sub_sector,,KAP,sektorler.pdf,kap_sektor_map_2026_05,True
ADESE,ADESE GAYRİMENKUL YATIRIM A.Ş.,GAYRİMENKUL FAALİYETLERİ,GAYRİMENKUL FAALİYETLERİ,real_estate_operational,real_estate_operational,real_estate_operational,isyatirim_group_1,yfinance_quarterly|borsapy_yearly,isyatirim_group_1|yfinance_quarterly|borsapy_yearly,False,sub_sector,GYO değil; operasyonel gayrimenkul şirketi,KAP,sektorler.pdf,kap_sektor_map_2026_05,True
ADGYO,ADRA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,MALİ KURULUŞLAR,GAYRİMENKUL YATIRIM ORTAKLIKLARI,gyo,gyo,gyo,isyatirim_group_1,yfinance_quarterly|borsapy_yearly,isyatirim_group_1|yfinance_quarterly|borsapy_yearly,False,sub_sector,,KAP,sektorler.pdf,kap_sektor_map_2026_05,True
AEFES,ANADOLU EFES BİRACILIK VE MALT SANAYİİ A.Ş.,İMALAT,"GIDA, İÇECEK VE TÜTÜN",industrial,industrial_general,industrial_general,isyatirim_group_1,yfinance_quarterly|borsapy_yearly,isyatirim_group_1|yfinance_quarterly|borsapy_yearly,False,sub_sector,,KAP,sektorler.pdf,kap_sektor_map_2026_05,True
AFYON,AFYON ÇİMENTO SANAYİ T.A.Ş.,İMALAT,TAŞ VE TOPRAĞA DAYALI,industrial,industrial_general,industrial_general,isyatirim_group_1,yfinance_quarterly|borsapy_yearly,isyatirim_group_1|yfinance_quarterly|borsapy_yearly,False,sub_sector,,KAP,sektorler.pdf,kap_sektor_map_2026_05,True
AGESA,AGESA HAYAT VE EMEKLİLİK A.Ş.,MALİ KURULUŞLAR,SİGORTA ŞİRKETLERİ,insurance,insurance,insurance,isyatirim_group_2,borsapy_yearly|yfinance_quarterly,isyatirim_group_2|borsapy_yearly|yfinance_quarterly,False,sub_sector,insurance model V2 mapping gerekebilir,KAP,sektorler.pdf,kap_sektor_map_2026_05,True
AGHOL,AG ANADOLU GRUBU HOLDİNG A.Ş.,MALİ KURULUŞLAR,HOLDİNGLER VE YATIRIM ŞİRKETLERİ,holding,holding,holding,isyatirim_group_1,yfinance_quarterly|borsapy_yearly,isyatirim_group_1|yfinance_quarterly|borsapy_yearly,False,sub_sector,,KAP,sektorler.pdf,kap_sektor_map_2026_05,True
AGROT,AGROTECH YÜKSEK TEKNOLOJİ VE YATIRIM A.Ş.,"TARIM, ORMANCILIK VE BALIKÇILIK",TARIM VE HAYVANCILIK AVCILIK VE İLGİLİ HİZMET FAALİYETLERİ,industrial,industrial_general,agriculture_operational_candidate,isyatirim_group_1,yfinance_quarterly|borsapy_yearly,isyatirim_group_1|yfinance_quarterly|borsapy_yearly,True,sub_sector,KAP ana sektörü tarım/ormancılık/balıkçılık; V1'de agriculture özel modeli olmadığı için industrial_general kullanıldı.,KAP,sektorler.pdf,kap_sektor_map_2026_05,True
AGYO,ATAKULE GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,MALİ KURULUŞLAR,GAYRİMENKUL YATIRIM ORTAKLIKLARI,gyo,gyo,gyo,isyatirim_group_1,yfinance_quarterly|borsapy_yearly,isyatirim_group_1|yfinance_quarterly|borsapy_yearly,False,sub_sector,,KAP,sektorler.pdf,kap_sektor_map_2026_05,True
