symbol,company_name,main_sector,sub_sector,manual_review_required
A1CAP,A1 CAPİTAL YATIRIM MENKUL DEĞERLER A.Ş.,MALİ KURULUŞLAR,ARACI KURUMLAR,false
A1YEN,A1 YENİLENEBİLİR ENERJİ ÜRETİM A.Ş.,ELEKTRİK GAZ VE SU,ELEKTRİK GAZ VE BUHAR,false
AAGYO,AĞAOĞLU AVRASYA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,MALİ KURULUŞLAR,GAYRİMENKUL YATIRIM ORTAKLIKLARI,false
ACP,A1 CAPİTAL YATIRIM MENKUL DEĞERLER A.Ş.,MALİ KURULUŞLAR,ARACI KURUMLAR,false
ACSEL,ACISELSAN ACIPAYAM SELÜLOZ SANAYİ VE TİCARET A.Ş.,İMALAT,KİMYA İLAÇ PETROL LASTİK VE PLASTİK ÜRÜNLER,false
ADEL,ADEL KALEMCİLİK TİCARET VE SANAYİ A.Ş.,İMALAT,DİĞER İMALAT SANAYİİ,false
ADESE,ADESE GAYRİMENKUL YATIRIM A.Ş.,GAYRİMENKUL FAALİYETLERİ,GAYRİMENKUL FAALİYETLERİ,false
ADGYO,ADRA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,MALİ KURULUŞLAR,GAYRİMENKUL YATIRIM ORTAKLIKLARI,false
AEFES,ANADOLU EFES BİRACILIK VE MALT SANAYİİ A.Ş.,İMALAT,"GIDA, İÇECEK VE TÜTÜN",false
AFYON,AFYON ÇİMENTO SANAYİ T.A.Ş.,İMALAT,TAŞ VE TOPRAĞA DAYALI,false
AGESA,AGESA HAYAT VE EMEKLİLİK A.Ş.,MALİ KURULUŞLAR,SİGORTA ŞİRKETLERİ,false
AGHOL,AG ANADOLU GRUBU HOLDİNG A.Ş.,MALİ KURULUŞLAR,HOLDİNGLER VE YATIRIM ŞİRKETLERİ,false
AGROT,AGROTECH YÜKSEK TEKNOLOJİ VE YATIRIM A.Ş.,"TARIM, ORMANCILIK VE BALIKÇILIK",TARIM VE HAYVANCILIK AVCILIK VE İLGİLİ HİZMET FAALİYETLERİ,true
AGYO,ATAKULE GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,MALİ KURULUŞLAR,GAYRİMENKUL YATIRIM ORTAKLIKLARI,false
AHGAZ,AHLATCI DOĞAL GAZ DAĞITIM ENERJİ VE YATIRIM A.Ş.,ELEKTRİK GAZ VE SU,ELEKTRİK GAZ VE BUHAR,false
AHSGY,AHES GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,MALİ KURULUŞLAR,GAYRİMENKUL YATIRIM ORTAKLIKLARI,false
AKBNK,AKBANK T.A.Ş.,MALİ KURULUŞLAR,BANKALAR,false
AKCNS,AKÇANSA ÇİMENTO SANAYİ VE TİCARET A.Ş.,İMALAT,TAŞ VE TOPRAĞA DAYALI,false
AKENR,AKENERJİ ELEKTRİK ÜRETİM A.Ş.,ELEKTRİK GAZ VE SU,ELEKTRİK GAZ VE BUHAR,false
