symbol,company_name,sector_group,sector_profile,financial_model,selected_route,manual_review,data_source,period,score,label,quality,piotroski_applicability,status,flags_count,critical_flags,exception_message
A1CAP,A1 CAPİTAL YATIRIM MENKUL DEĞERLER A.Ş.,financial_special,broker_operational,financial_special,broker_operational_model,False,isyatirim_quarterly,2026 3 Aylık,6.79,Güçlü,1.0,not_applicable,SCORE_OK,3,,
A1YEN,A1 YENİLENEBİLİR ENERJİ ÜRETİM A.Ş.,energy_utility,energy_utility,energy_utility,energy_utility_model,False,isyatirim_quarterly,2026 3 Aylık,8.01,Çok Güçlü,0.9,limited,SCORE_OK,8,,
AAGYO,AĞAOĞLU AVRASYA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,gyo,gyo,gyo,gyo_model,False,isyatirim_quarterly,2026 3 Aylık,6.26,Nötr,0.88,limited,SCORE_OK,6,,
ACSEL,ACISELSAN ACIPAYAM SELÜLOZ SANAYİ VE TİCARET A.Ş.,industrial,industrial_general,industrial_general,industrial_model,False,isyatirim_quarterly,2026 3 Aylık,5.15,Nötr,1.0,applicable,SCORE_OK,2,,
ADEL,ADEL KALEMCİLİK TİCARET VE SANAYİ A.Ş.,industrial,industrial_general,industrial_general,industrial_model,False,isyatirim_quarterly,2026 3 Aylık,2.35,Çok Zayıf,0.91,applicable,SCORE_OK,2,,
ADESE,ADESE GAYRİMENKUL YATIRIM A.Ş.,real_estate_operational,real_estate_operational,real_estate_operational,real_estate_operational_router,False,isyatirim_quarterly,2026 3 Aylık,6.58,Güçlü,1.0,limited,SCORE_OK,6,,
ADGYO,ADRA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,gyo,gyo,gyo,gyo_model,False,isyatirim_quarterly,2026 3 Aylık,4.64,Nötr,0.88,limited,SCORE_OK,6,,
AEFES,ANADOLU EFES BİRACILIK VE MALT SANAYİİ A.Ş.,industrial,industrial_general,industrial_general,industrial_model,False,isyatirim_quarterly,2026 3 Aylık,4.73,Nötr,1.0,applicable,SCORE_OK,2,,
AFYON,AFYON ÇİMENTO SANAYİ T.A.Ş.,industrial,industrial_general,industrial_general,industrial_model,False,isyatirim_quarterly,2026 3 Aylık,4.27,Zayıf,0.96,applicable,SCORE_OK,2,,
AGESA,AGESA HAYAT VE EMEKLİLİK A.Ş.,insurance,insurance,insurance,insurance_model,False,isyatirim_quarterly,2026 3 Aylık,7.08,Güçlü,1.0,not_applicable,SCORE_OK,3,,
AGHOL,AG ANADOLU GRUBU HOLDİNG A.Ş.,holding,holding,holding,holding_model,False,isyatirim_quarterly,2026 3 Aylık,7.55,Güçlü,0.88,limited,SCORE_OK,6,,
AGROT,AGROTECH YÜKSEK TEKNOLOJİ VE YATIRIM A.Ş.,industrial,agriculture_operational_candidate,industrial_general,industrial_model,True,isyatirim_quarterly,2026 3 Aylık,3.75,Zayıf,0.86,applicable,SCORE_OK_MANUAL_REVIEW,2,,
AGYO,ATAKULE GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,gyo,gyo,gyo,gyo_model,False,isyatirim_quarterly,2026 3 Aylık,6.42,Nötr,0.88,limited,SCORE_OK,7,,
AHGAZ,AHLATCI DOĞAL GAZ DAĞITIM ENERJİ VE YATIRIM A.Ş.,energy_utility,energy_utility,energy_utility,energy_utility_model,False,isyatirim_quarterly,2026 3 Aylık,7.3,Güçlü,0.9,limited,SCORE_OK,8,,
AHSGY,AHES GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,gyo,gyo,gyo,gyo_model,False,isyatirim_quarterly,2026 3 Aylık,7.65,Güçlü,1.0,limited,SCORE_OK,5,,
AKBNK,AKBANK T.A.Ş.,bank,banking,bank,bank_model,False,isyatirim_quarterly,2026 3 Aylık,5.22,Nötr,1.0,not_applicable,SCORE_OK,2,,
AKCNS,AKÇANSA ÇİMENTO SANAYİ VE TİCARET A.Ş.,industrial,industrial_general,industrial_general,industrial_model,False,isyatirim_quarterly,2026 3 Aylık,3.83,Zayıf,0.96,applicable,SCORE_OK,2,,
AKENR,AKENERJİ ELEKTRİK ÜRETİM A.Ş.,energy_utility,energy_utility,energy_utility,energy_utility_model,False,isyatirim_quarterly,2026 3 Aylık,3.9,Zayıf,0.9,limited,SCORE_OK,9,,
AKFGY,AKFEN GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,gyo,gyo,gyo,gyo_model,False,isyatirim_quarterly,2026 3 Aylık,8.11,Çok Güçlü,1.0,limited,SCORE_OK,5,,
AKFIS,AKFEN İNŞAAT TURİZM VE TİCARET A.Ş.,industrial,industrial_general,industrial_general,industrial_model,False,isyatirim_quarterly,2026 3 Aylık,6.51,Güçlü,1.0,applicable,SCORE_OK,2,,
AKFYE,AKFEN YENİLENEBİLİR ENERJİ A.Ş.,energy_utility,energy_utility,energy_utility,energy_utility_model,False,isyatirim_quarterly,2026 3 Aylık,8.73,Çok Güçlü,0.9,limited,SCORE_OK,7,,
AKGRT,AKSİGORTA A.Ş.,insurance,insurance,insurance,insurance_model,False,isyatirim_quarterly,2026 3 Aylık,6.54,Güçlü,1.0,not_applicable,SCORE_OK,3,,
