dosya,ticker,baslangic,bitis,ref_gun,manip_gun,ref_price_mean,ref_price_std,ref_volatilite,ref_adr,ref_rsi_mean,ref_gini_fiyat,ref_gini_hacim,ref_streak_max,manip_rsi_max,manip_hacim_spike,manip_volatilite,manip_zscore_max,manip_gini_fiyat,manip_gini_hacim,manip_streak_max,manip_adr,pump_orani
1.docx,CEOEM,26.10.2025,24.01.2026,250,63,32.5041,7.3541,0.7008,3.2469,44.4076,0.1087,0.346,7.0,65.5629,2.2351,0.4052,1.5208,0.039,0.3071,3.0,2.0262,0.8897
1.docx,TEHOL,26.10.2025,24.01.2026,250,63,16.8139,12.976,0.9557,4.1345,66.8109,0.4043,0.3911,11.0,94.5055,3.9757,0.842,1.9024,0.135,0.3543,5.0,3.8513,2.4682
2.docx,DOGUB,03.03.2021,01.06.2021,251,61,2.7328,0.9785,0.7284,3.2986,57.7738,0.2028,0.5251,7.0,90.749,2.0081,0.6439,2.0787,0.064,0.3621,4.0,3.2044,1.7443
3.docx,TRALT,16.10.2025,14.01.2026,42,42,40.5548,3.6206,0.6803,3.4634,58.2095,0.0503,0.2175,6.0,69.5652,1.8614,0.6803,2.1834,0.0503,0.2175,6.0,3.4634,1.1949
4.docx,SONME,01.04.2025,30.06.2025,247,59,86.5534,9.6889,0.5772,2.708,49.4271,0.063,0.3072,5.0,94.4662,6.4521,0.7612,6.4677,0.0612,0.3414,8.0,3.8203,1.724
5.docx,HEDEF,27.12.2024,27.03.2025,249,64,4.5906,1.0699,0.4604,2.1249,43.6935,0.1323,0.3651,4.0,89.011,20.9758,0.8546,1.635,0.0892,0.452,7.0,4.1963,1.3811
6.docx,TUREX,14.06.2024,12.09.2024,251,60,3.7121,1.1909,0.5459,2.6257,57.4163,0.162,0.3276,8.0,90.9539,4.5411,0.549,5.2801,0.0676,0.345,8.0,2.5005,2.6939
a.docx,ADESE,25.05.2024,23.08.2024,251,61,0.4264,0.0812,0.5465,2.4799,53.268,0.1073,0.3295,5.0,70.6897,1.302,0.3483,0.5858,0.0275,0.2018,5.0,1.7177,1.1115
b.docx,IHGZT,28.07.2022,16.08.2022,252,14,0.8035,0.196,0.4058,1.6856,43.3926,0.1231,0.4108,4.0,85.1852,5.4617,0.7591,0.7828,0.033,0.421,2.0,3.2714,1.0455
c.docx,IHGZT,25.10.2019,30.12.2019,261,46,0.5533,0.2839,0.7893,3.0687,55.5522,0.2824,0.7386,5.0,95.2633,0.7852,0.9192,6.1441,0.1135,0.6808,4.0,3.1083,4.1527
d.docx,ARSAN,13.12.2019,12.03.2020,260,64,0.0931,0.0223,0.3601,1.4417,60.0303,0.1176,0.5098,5.0,84.4437,6.1131,0.8619,6.8373,0.0845,0.487,5.0,3.1664,2.6382
e.docx,ULAS,03.01.2026,03.04.2026,251,64,27.3466,3.7394,0.5801,2.7343,49.5461,0.0771,0.3314,7.0,98.9743,8.7839,0.6053,4.5819,0.0518,0.4086,8.0,2.6109,1.6265
f.docx,NIBAS,23.07.2020,21.10.2020,253,63,1.3663,0.4887,0.904,3.4374,54.3771,0.1903,0.7525,10.0,98.3607,5.8444,0.9876,11.2221,0.1831,0.5982,9.0,5.3345,5.0135
g.docx,EGEEN,22.09.2023,21.12.2023,250,65,4891.1638,1343.347,0.6484,3.0306,58.1748,0.1538,0.3708,8.0,91.0761,3.0641,0.6731,6.5637,0.0906,0.2928,10.0,3.2813,2.8027
