ticker,baslangic,bitis,source,referans
CEOEM,2025-10-26,2026-01-24,vakalar.csv,1.docx
TEHOL,2025-10-26,2026-01-24,vakalar.csv,1.docx
DOGUB,2021-03-03,2021-06-01,vakalar.csv,2.docx
TRALT,2025-10-16,2026-01-14,vakalar.csv,3.docx
SONME,2025-04-01,2025-06-30,vakalar.csv,4.docx
HEDEF,2024-12-27,2025-03-27,vakalar.csv,5.docx
TUREX,2024-06-14,2024-09-12,vakalar.csv,6.docx
ADESE,2024-05-25,2024-08-23,vakalar.csv,a.docx
IHGZT,2022-07-28,2022-08-16,vakalar.csv,b.docx
IHGZT,2019-10-25,2019-12-30,vakalar.csv,c.docx
ARSAN,2019-12-13,2020-03-12,vakalar.csv,d.docx
ULAS,2026-01-03,2026-04-03,vakalar.csv,e.docx
NIBAS,2020-07-23,2020-10-21,vakalar.csv,f.docx
EGEEN,2023-09-22,2023-12-21,vakalar.csv,g.docx
JANTS,2023-09-22,2023-12-21,vakalar.csv,g.docx
PRKAB,2023-09-22,2023-12-21,vakalar.csv,g.docx
DOBUR,2023-09-22,2023-12-21,vakalar.csv,g.docx
PENGD,2020-03-25,2020-06-23,vakalar.csv,h.docx
EUYO,2020-08-05,2020-11-03,vakalar.csv,i.docx
PEGYO,2023-10-17,2024-01-15,vakalar.csv,j.docx
TMPOL,2023-01-06,2023-04-06,vakalar.csv,k.docx
NUGYO,2021-09-03,2021-09-14,vakalar.csv,l.docx
OYLUM,2021-09-03,2021-09-14,vakalar.csv,l.docx
MARKA,2017-05-23,2018-02-23,vakalar.csv,m.docx
SAMAT,2020-10-20,2020-12-17,vakalar.csv,n.docx
BMSCH,2022-01-27,2022-04-27,vakalar.csv,o.docx
KZBGY,2022-01-27,2022-04-27,vakalar.csv,o.docx
CANTE,2022-09-30,2022-12-29,vakalar.csv,p.docx
PCILT,2023-05-03,2023-08-01,vakalar.csv,q.docx
ETYAT,2025-11-08,2026-02-06,vakalar.csv,r.docx
PNSUT,2025-07-18,2025-10-16,vakalar.csv,s.docx
KIMMR,2022-07-05,2022-10-03,vakalar.csv,t.docx
TUREX,2021-01-15,2021-04-15,vakalar.csv,u.docx
PIT,2021-01-15,2021-04-15,vakalar.csv,u.docx
TDGYO,2020-03-24,2020-03-31,vakalar.csv,v.docx
PAMEL,2025-09-27,2025-12-26,vakalar.csv,w.docx
RAYSG,2025-09-27,2025-12-26,vakalar.csv,w.docx
ETYAT,2025-09-27,2025-12-26,vakalar.csv,w.docx
GLBMD,2025-09-27,2025-12-26,vakalar.csv,w.docx
BASGZ,2024-09-27,2024-12-26,vakalar.csv,x.docx
EUKYO,2023-08-18,2023-11-16,vakalar.csv,y.docx
AVTUR,2023-08-18,2023-11-16,vakalar.csv,y.docx
EKSUN,2024-10-10,2025-01-08,vakalar.csv,z.docx
AVGYO,2024-01-20,2024-04-19,vakalar.csv,ç.docx
BJKAS,2024-01-20,2024-04-19,vakalar.csv,ç.docx
JANTS,2020-11-14,2021-02-12,vakalar.csv,ö.docx
ITTFH,2022-05-12,2022-08-10,vakalar.csv,ü.docx
DOBUR,2022-05-12,2022-08-10,vakalar.csv,ü.docx
ANHYT,2021-10-27,2022-01-25,vakalar.csv,ğ.docx
DENGE,2020-04-03,2020-07-02,vakalar.csv,ş.docx
AZTEK,2026-02-07,2026-05-07,kap_tedbir,1602901
AVOD,2026-02-07,2026-05-07,kap_tedbir,1602901
CEMZY,2026-01-10,2026-04-09,kap_tedbir,1591101
IDGYO,2026-01-03,2026-04-02,kap_tedbir,1584087
ULAS,2025-12-18,2026-03-17,kap_tedbir,1574228
OZSUB,2025-11-08,2026-02-05,kap_tedbir,1554278
ETYAT,2025-11-07,2026-02-04,kap_tedbir,1553231
ETYAT,2025-10-26,2026-01-23,kap_tedbir,1546334
NIBAS,2019-08-14,2019-11-11,kap_tedbir,
GLYHO,2019-09-03,2019-12-01,kap_tedbir,2019/68
HURGZ,2019-09-11,2019-12-09,kap_tedbir,2019/66
FORMT,2019-09-11,2019-12-09,kap_tedbir,2019/66
HLGYO,2019-01-12,2019-04-11,kap_tedbir,2019/67
GEDZA,2019-03-19,2019-06-16,kap_tedbir,
IHGZT,2019-03-19,2019-06-16,kap_tedbir,
EGPRO,2019-08-15,2019-11-12,kap_tedbir,2019/63
MEPET,2019-08-02,2019-10-30,kap_tedbir,2019/61
YAPRK,2019-08-02,2019-10-30,kap_tedbir,2019/61
ADESE,2019-08-16,2019-11-13,kap_tedbir,
DMSAS,2019-07-23,2019-10-20,kap_tedbir,
PRZMA,2019-07-02,2019-09-29,kap_tedbir,2019/55
PRKME,2019-07-02,2019-09-29,kap_tedbir,2019/55
BURVA,2019-07-06,2019-10-03,kap_tedbir,
RALYH,2019-07-06,2019-10-03,kap_tedbir,
PLASP,2019-07-06,2019-10-03,kap_tedbir,
INFO,2019-06-20,2019-09-17,kap_tedbir,2019/50
NIBAS,2019-05-22,2019-08-19,kap_tedbir,2019/47
KAPLM,2019-06-07,2019-09-04,kap_tedbir,2019/44
SONME,2019-05-11,2019-08-08,kap_tedbir,2019/42
ADESE,2019-05-03,2019-07-31,kap_tedbir,2019/39
SEYKM,2019-03-26,2019-06-23,kap_tedbir,2019/33
IHGZT,2019-03-02,2019-05-30,kap_tedbir,2019/31
IZTAR,2019-03-01,2019-05-29,kap_tedbir,2019/29
VKING,2019-03-01,2019-05-29,kap_tedbir,2019/29
ADESE,2019-02-23,2019-05-23,kap_tedbir,2019/27
ITTFH,2019-02-23,2019-05-23,kap_tedbir,2019/27
HLGYO,2019-01-26,2019-04-25,kap_tedbir,2019/23
TATGD,2019-01-11,2019-04-10,kap_tedbir,2019/19
TEKTU,2019-01-11,2019-04-10,kap_tedbir,2019/19
AVOD,2020-08-28,2020-11-25,kap_tedbir,2020/72
MRGYO,2020-08-28,2020-11-25,kap_tedbir,2020/72
ADESE,2020-08-28,2020-11-25,kap_tedbir,2020/72
MARKA,2020-07-30,2020-10-27,kap_tedbir,2020/69
METUR,2020-06-20,2020-09-17,kap_tedbir,2020/62
BNTAS,2020-06-20,2020-09-17,kap_tedbir,2020/62
NIBAS,2020-07-24,2020-10-21,kap_tedbir,2020/64
SEKUR,2020-06-02,2020-08-30,kap_tedbir,2020/60
INTEM,2020-06-02,2020-08-30,kap_tedbir,2020/60
PEGYO,2020-06-17,2020-09-14,kap_tedbir,2020/57
PEGYO,2020-05-12,2020-08-09,kap_tedbir,2020/56
PEKGY,2020-05-12,2020-08-09,kap_tedbir,2020/49
